,code,description,unit,periodicity,start,last_value,source,grupo
74,2290,Circulation of Goods and Services Tax collected (flows) - North Region,c.m.u. (thousand),M,31/01/1992,feb/2018,MF-Cotepe,NORTH
76,2296,Transfer of funds from the National Treasury to states and municipalities (flows) - North region,c.m.u. (thousand),M,31/01/1991,mar/2018,MF-STN,NORTH
80,24111,Gross Domestic Product at market prices (Ref. 2010) - Northern Region,R$,A,01/01/2002,2015,IBGE,NORTH
81,24122,Gross Domestic Product - real annual change (Ref. 2010) - Northern Region,%,A,01/01/2002,2015,IBGE,NORTH
83,24884,Number of headquarters of authorized financial institutions in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
85,24890,Number of branches of financial institutions in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
87,24896,Number of banking service outposts  of financial institutions in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
89,24902,Number of electronic service outposts  of financial institutions in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
91,24908,Number of correspondents of financial institutions in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
93,24914,Number of ATMs of financial institutions in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
95,24921,Number of POSs of financial institutions in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
97,24927,"Number of service points of financial institutions, not including ATMs and POS terminals, in the North region",Units,A,31/12/2005,2016,Unicad,NORTH
99,24933,Number of headquarters of authorized banks in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
101,24939,Number of branches of banks in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
103,24948,Number of correspondents of banks in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
105,24954,Number of banking service outposts  of banks in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
107,24960,Number of electronic service outposts  of banks in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
109,24966,Number of authorized credit unions in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
111,24978,Number of credit unions banking service outposts in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
113,24984,Number of credit unions electronic  service outposts in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
115,24990,Number of credit unions correspondents in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
117,24996,Number of branches of finance companies in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
119,25002,Number of banking services outpost of finance companies in the North region,Units,A,31/12/2005,-,Unicad,NORTH
121,25008,Number of electronic service outposts of finance companies in the North region,Units,A,31/12/2005,2016,Unicad,NORTH
123,25014,"Number of microentrepreneur, and small business credit companies correspondents in the North region",Units,A,31/12/2005,2016,Unicad,NORTH
125,25020,"Total of service points from the banking segment, credit unions, SCFIs and SCMEPPs in the North region, divided by the region's area in square kilometers and multiplied by one thousand",Units,A,31/12/2005,2016,BCB-Depef,NORTH
127,25032,"Total of service points from the banking segment, credit unions,SCFIs and SCMEPPs in the North region, divided by the region's adult population estimation for the year, calculated by IBGE, and multiplied by ten thousand",Units,A,31/12/2005,2016,BCB-Depef,NORTH
129,25044,"Total of branches from the banking segment in the North region, divided by the region's adult population estimation for the year, calculated by IBGE, and multiplied by ten thousand",Units,A,31/12/2005,2016,BCB-Depef,NORTH
131,25050,"Total of banking service outposts (PA) from the banking segment in the North region, divided by the region's adult population estimation for the year, calculated by IBGE, and multiplied by ten thousand",Units,A,31/12/2005,2016,BCB-Depef,NORTH
133,25056,"Total of electronic service outposts (PAE) from the banking segment in the North region, divided by the region's adult population estimation for the year, calculated by IBGE, and multiplied by ten thousand",Units,A,31/12/2005,2016,BCB-Depef,NORTH
135,25130,Adults with a banking relationship - North,Units (million),A,31/12/2005,2017,BCB-Depef,NORTH
138,25406,Regional Economic Activity Index - Northern Region,Index,M,01/01/2003,feb/2018,BCB-Depec,NORTH
139,25407,Regional Economic Activity Index - Northern Region - seasonally adjusted data,Index,M,01/01/2003,jan/2018,BCB-Depec,NORTH
141,25542,Balance of credit of credit unions for individuals - by region - North,R$ (million),A,31/12/2012,2017,SCR,NORTH
143,25567,"Number of microentrepreneur, and small business credit companies headquarters in the North region",Units,A,31/12/2005,2016,Unicad,NORTH
145,25573,"Number of microentrepreneur, and small business credit companies branches in the North region",Units,A,31/12/2005,2016,Unicad,NORTH
147,25579,Number of headquarters of finance companies in the North region,Units,A,31/12/2005,-,Unicad,NORTH
148,25737,Credit operations outstanding by region - microenterprise - North,R$ (million),Q,31/03/2012,4º Quar. 2017,SCR,NORTH
150,25742,Credit operations outstanding by region - small-sized enterprise - North,R$ (million),Q,31/03/2012,4º Quar. 2017,SCR,NORTH
152,26168,Credit operations outstanding by grantor segment and region - microenterprise - Banking segment - North,R$ (million),Q,31/03/2012,4º Quar. 2017,SCR,NORTH
154,26174,Credit operations outstanding by grantor segment and region - microenterprise - Credit unions - North,R$ (million),Q,31/03/2012,4º Quar. 2017,SCR,NORTH
156,26179,Credit operations outstanding by grantor segment and region - microenterprise - Non-banking financial institutions (except credit unions) - North,R$ (million),Q,31/03/2012,4º Quar. 2017,SCR,NORTH
158,26184,Credit operations outstanding by grantor segment and region - small-sized enterprise - Banking segment - North,R$ (million),Q,31/03/2012,4º Quar. 2017,SCR,NORTH
160,26190,Credit operations outstanding by grantor segment and region - small-sized enterprise - Credit unions - North,R$ (million),Q,31/03/2012,4º Quar. 2017,SCR,NORTH
162,26195,Credit operations outstanding by grantor segment and region - small-sized enterprise - Non-banking financial institutions (except credit unions) - North,R$ (million),Q,31/03/2012,4º Quar. 2017,SCR,NORTH
164,26210,90 days past due loans by region - microenterprise - North,%,Q,31/03/2012,4º Quar. 2017,SCR,NORTH
166,26215,90 days past due loans by region - small-sized enterprise - North,%,Q,31/03/2012,4º Quar. 2017,SCR,NORTH
168,26720,Credit operations outstanding by grantor segment and region - Banking segment - North,R$ (million),Q,31/03/2016,4º Quar. 2017,BCB-Depef,NORTH
170,26725,Credit operations outstanding by grantor segment and region - Credit unions - North,R$ (million),Q,31/03/2016,4º Quar. 2017,BCB-Depef,NORTH
172,26730,Credit operations outstanding by grantor segment and region - Non-banking financial institutions (except credit unions) - North,R$ (million),Q,31/03/2016,4º Quar. 2017,BCB-Depef,NORTH
174,26740,90 days past due loans by region - individual microentrepreneur (MEI) - North,%,Q,31/03/2016,4º Quar. 2017,BCB-Depef,NORTH
176,26982,Credit operations outstanding of individuals registered as MEI by region - North,R$ (million),Q,31/03/2016,4º Quar. 2017,BCB-Depef,NORTH
178,27076,90 days past due loans of individuals registered as MEI by region - North,%,Q,31/03/2016,4º Quar. 2017,BCB-Depef,NORTH
180,27118,Average interest rate of individuals registered as MEI by region - North,% p.y.,Q,31/03/2016,4º Quar. 2017,BCB-Depef,NORTH
182,27322,Credit operations outstanding by region - individual microentrepreneur (MEI) - North,R$ (million),Q,31/03/2016,4º Quar. 2017,BCB-Depef,NORTH
184,27481,Active quotas of consortium of individuals in the North region,Units,A,31/12/2008,2017,SAG,NORTH
186,27540,Individuals with vehicle quotas by region - Northern region,Units,A,31/12/2008,2017,SAG,NORTH
188,27546,Individuals with motorcycles quotas by region - Northern region,Units,A,31/12/2008,2017,SAG,NORTH
190,27552,Individuals with real estate quotas by region - Northern region,Units,A,31/12/2008,2017,SAG,NORTH
192,27564,Individuals with quotas by region - Northern region,Units,A,31/12/2008,2017,SAG,NORTH
194,3208,Exports (Fob) - Northern Mariana Islands,US$,M,31/01/1989,mar/2018,MDIC/Secex,NORTH
195,3440,Imports (Fob) - Northern Mariana Islands,US$,M,31/01/1989,mar/2018,MDIC/Secex,NORTH
41,24002,PMS - Services volume index - Total - Norte,Index,M,01/01/2012,jan/2018,BCB e IBGE,NORTH
42,25760,Credit operations outstanding by source of funds - microenterprise - earmarked credit - FNO - Fundo Constitucional do Norte,R$ (million),Q,31/03/2012,4¿ Quar. 2017,SCR,NORTH
43,25779,Credit operations outstanding by source of funds - small-sized enterprise - earmarked credit - FNO - Fundo Constitucional do Norte,R$ (million),Q,"31/03/2012""",4¿ Quar. 2017,SCR,NORTH
